127.0.0.1 - - [22/Mar/2019:02:26:41 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/index.jsp HTTP/1.1" 200 11518
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/css/egovframework/sample.css;jsessionid=853606353F9667B4179D27F159B24AD8 HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/example/title_dot.gif;jsessionid=853606353F9667B4179D27F159B24AD8 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/example/btn_bg_r.gif;jsessionid=853606353F9667B4179D27F159B24AD8 HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [22/Mar/2019:02:26:45 +0900] "GET /lab101/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
